Empresa;Destacado;Inicio;Fin;Proyecto;Rol;Equipo;Tecnologia;Logros;Pais;Sector;Tipo;Tareas
BANCA MÓVIL BANPRO - GURUNET;Si;feb-21;nov-23;"Migración de app Banca movil Banpro de entorno Java a React Native (Fase I); desarrollo de mejoras y nuevas funcionalidades (Fase III)";Consultor/Desarrollador senior;5;Frameworks: Node.js, Expo CLI, React Native CLI, React Native Paper, React Native Elements, NativeBase, React Native UI Kitten, React Native (Navigation, Linking, Push Notification, Permissions, Device Info, FS, etc), Redux, Axios/ Tools: VisualCode;Mejoras en 5 seg prom. en consultas y  8 seg en autenticación;Nicaragua;Banca;movil  -android, ios-;
CONTABILIUM;Si;nov-21;feb-23;Diseño, desarrollo de mejoras y nuevas funcionalidades, mantención de aplicación de punto de venta para Argentina, Chile, Uruguay -tablet Android, windows-;Consultor/Desarrollador senior;1;Frameworks: C#, Xamarin, Prism, Linq, API rest, OAUTH 2.0/ Tools: VisualStudio 2023/Db: SQLite, SQL Server 2014;Reducción de un 94% en los tiempos de sincronización y en un 70% las incidencias de clientes;Argentina;Software SaaS/ ERP;tablet android, windows;
PROPIYA;Si;ago-23;dic-23;Desarrollo e Implementación de una MVP Web para el pago de propinas con Integración de MercadoPago modelo MarketPlace, creación de comunidad y gestión para Restaurantes y Mozos;Consultor/Project manager/Desarrollador senior;1;"• Backend: MongoDb, Mongoose, Express, passport, axios, mocha
• Frontend: React, React Hooks,React-router, Redux,PassportJS, Axios, Tailwind CSS, MercadoPago
•Test: Jest y react-testing-library";Implementación exitosa de la primera fase del MVP;Argentina;Startup, Servicios;web;
BN VALORES - GURUNET;Si;ago-22;mar-23;Desarrollo de mejoras, nuevas funcionalidades y mantención de aplicación que permite el monitoreo del mercado bursátil costarricense.;Consultor/Desarrollador senior;2;Frameworks: C#, Xamarin.Form 5.0, Prism, Syncfusion, refit, Polly./ Tools: VisualStudio 2023;mejoras en los tiempos de respuesta y mejor rendimiento de la app;Costa Rica;Banca;movil  -android, ios-;
RUTERO;Si;dic-22;abr-23;Desarrollo e Implementación de modulo y apis para aplicación web de reservas outdoor para Integración con MercadoPago modelo Marketplace y el modulo para gestionar el proceso de reserva  y autorización de clientes y vendedores;Consultor/Project manager/Desarrollador senior;2;"•	Backend : Ruby 2.7, Rails 6.1,  Grape, Rodauth, JWT, ActiveModelSerializers, Rack CORS, HTTParty.
•	Frontend : React, React Hooks,React-router, Redux,PassportJS, Axios, Tailwind CSS, MercadoPago
•	Test: Jest y react-testing-library";Implementación exitosa de la integración y componentes;Chile;Software SaaS/ Reservas;web;
MERCADO LIBRE - UNX;Si;ago-21;dic-21;Desarrollo de múltiples servicios en diferentes entornos para el proyecto Hawkeye - Sistema de detección por video en bodegas de mercado libre;Consultor/ Desarrollador senior;6;"•	Servicio Windows: C#, NET Core 5.0, Genetec SDK, AWS Cli, AWS Bucket S3.
•	Procesamiento de datos: Amazon RDS PostgreSQL.
•	Servicios ApiRest: NodeJS, AWS Lambda, AWS API Gateway.
•	Dashboard: Power BI, Google Data Studio.";"•	Resolución de problema de SDK de genetec para selección y extracción en tiempo real de videos; 
•	definición de métricas, kpi de dashboard y redefinición de data relevante a obtener de modelo ML.";Argentina;Retail/ Software;app;
INSTITUTO NACIONAL DEL CAFÉ;Si;sept-20;nov-20;Desarrollo e Implementación de Modelo, APIRest y Aplicación movil de seguimiento e inspección en terreno de exportaciones;Consultor/ Desarrollador senior ;1;"App: Xamarin, Prism, Linq, .Net Standard, API rest (Refit), OAUTH 2.0, SQLite.
ApiRest: Node, Electron, Oracle 10g";reducción de un 40% en los tiempos de inspección y reducción en un 70% en los errores de captura de información;Costa Rica;Agroindustria/ Software;movil  -android, ios-;
CODELCO - AXITY;Si;oct-19;may-20;Desarrollo de plataforma con  aplicativos de gestion (Dashboar, Contratos, Auditoria) para la optimización y Automatización de Procesos Comerciales Internacionales para la Vicepresidencia de comercialización internacional;Consultor/Líder Técnico/Desarrollador senior;5;Node, React, Office UI Fabric Core, Office UI Fabric React, SharePoint Framework (SPFx), Power Automate, Power BI, TypeScript, SharePoint online, SQL server.;Incorporación de indicadores y métricas que permitieron dar una mejor visualización en la gestión de los procesos de comercialización y mejoras en la transparencia y normativa de los procesos;Chile;Minería/ Software;web;
MULTIAPOYO PRESTALANA;Si;jun-19;nov-19;Migración de sistema contable desarrollado en Windows form a asp.net core, módulo de pagos fijos y refrendos;Consultor/Desarrollador senior;1;Asp.Net Core .2.1, Entity Framework 6.2, Dapper, api rest, OAUTH 2.0, ReactJs, Redux, Node, SQL Server 2014 (Store Procedure, Trigger y Jobs), JavaScript, Bootstrap, jquery, Css, Html5;Cumplimiento de la totalidad de la migración en los tiempos estimados del proyecto;México;Financiera, Prendaria.;web;
SEGEGOB, Kibernum;Si;nov-18;may-19;Desarrollo de plataforma unificada para gestionar fondos concursables, mejorando la UX/UI, seguridad, autenticación y APIs para intercambio de información;Consultor/Líder técnico/Desarrollador senior. ;7;Asp.Net MVC 4.5, Entity Framework 6.2, Razor, LINQ, Dapper, API Rest, OAUTH 2.0, SQL Server 2014 (Store Procedure, Trigger y Jobs), JavaScript, Bootstrap, jQuery, CSS, Ajax;"•	Unificación y simplificación de los procesos de postulación de fondos concursables de 5 ministerios dentro del sistema, 
•	Lanzamiento del portal en los tiempos previstos del proyecto
•	Aumento global de la tasa de postulación a los fondos en un 30% en el lanzamiento
•	Reducción de 60% en los tiempos de postulación de acuerdo con encuestas con postulantes
•	80% indicaron mejoras en la claridad y facilidad para postular.";Chile;Gobierno;web;
